id,Item,Mot,Freq
1,1,tapioca,0.33
1,2,mascara,1.15
1,3,brocoli,1.32
1,4,piranha,1.32
1,5,caramel,2.76
1,6,ouragan,6.05
1,7,haricot,8.85
1,8,paysage,13.19
1,9,cabinet,21.97
1,10,comédie,22.11
1,11,énergie,43.06
1,12,magasin,60.62
1,13,maladie,66.04
1,14,société,75.46
1,15,liberté,79.53
1,16,intérêt,81.09
1,17,colonel,103.7
1,18,général,124.83
1,19,hôpital,133.15
1,20,volonté,47.08
1,21,granulé,0.32
1,22,colibri,0.33
1,23,camélia,0.42
1,24,félonie,0.17
1,25,capucin,0.18
1,26,taboulé,0.18
1,27,paladin,0.18
1,28,rubéole,0.14
1,29,vitrier,0.2
1,30,alvéole,0.2
2,1,tapioca,0.33
2,2,mascara,1.15
2,3,brocoli,1.32
2,4,piranha,1.32
2,5,caramel,2.76
2,6,ouragan,6.05
2,7,haricot,8.85
2,8,paysage,13.19
2,9,cabinet,21.97
2,10,comédie,22.11
2,11,énergie,43.06
2,12,magasin,60.62
2,13,maladie,66.04
2,14,société,75.46
2,15,liberté,79.53
2,16,intérêt,81.09
2,17,colonel,103.7
2,18,général,124.83
2,19,hôpital,133.15
2,20,volonté,47.08
2,21,granulé,0.32
2,22,colibri,0.33
2,23,camélia,0.42
2,24,félonie,0.17
2,25,capucin,0.18
2,26,taboulé,0.18
2,27,paladin,0.18
2,28,rubéole,0.14
2,29,vitrier,0.2
2,30,alvéole,0.2
3,1,tapioca,0.33
3,2,mascara,1.15
3,3,brocoli,1.32
3,4,piranha,1.32
3,5,caramel,2.76
3,6,ouragan,6.05
3,7,haricot,8.85
3,8,paysage,13.19
3,9,cabinet,21.97
3,10,comédie,22.11
3,11,énergie,43.06
3,12,magasin,60.62
3,13,maladie,66.04
3,14,société,75.46
3,15,liberté,79.53
3,16,intérêt,81.09
3,17,colonel,103.7
3,18,général,124.83
3,19,hôpital,133.15
3,20,volonté,47.08
3,21,granulé,0.32
3,22,colibri,0.33
3,23,camélia,0.42
3,24,félonie,0.17
3,25,capucin,0.18
3,26,taboulé,0.18
3,27,paladin,0.18
3,28,rubéole,0.14
3,29,vitrier,0.2
3,30,alvéole,0.2
4,1,tapioca,0.33
4,2,mascara,1.15
4,3,brocoli,1.32
4,4,piranha,1.32
4,5,caramel,2.76
4,6,ouragan,6.05
4,7,haricot,8.85
4,8,paysage,13.19
4,9,cabinet,21.97
4,10,comédie,22.11
4,11,énergie,43.06
4,12,magasin,60.62
4,13,maladie,66.04
4,14,société,75.46
4,15,liberté,79.53
4,16,intérêt,81.09
4,17,colonel,103.7
4,18,général,124.83
4,19,hôpital,133.15
4,20,volonté,47.08
4,21,granulé,0.32
4,22,colibri,0.33
4,23,camélia,0.42
4,24,félonie,0.17
4,25,capucin,0.18
4,26,taboulé,0.18
4,27,paladin,0.18
4,28,rubéole,0.14
4,29,vitrier,0.2
4,30,alvéole,0.2
5,1,tapioca,0.33
5,2,mascara,1.15
5,3,brocoli,1.32
5,4,piranha,1.32
5,5,caramel,2.76
5,6,ouragan,6.05
5,7,haricot,8.85
5,8,paysage,13.19
5,9,cabinet,21.97
5,10,comédie,22.11
5,11,énergie,43.06
5,12,magasin,60.62
5,13,maladie,66.04
5,14,société,75.46
5,15,liberté,79.53
5,16,intérêt,81.09
5,17,colonel,103.7
5,18,général,124.83
5,19,hôpital,133.15
5,20,volonté,47.08
5,21,granulé,0.32
5,22,colibri,0.33
5,23,camélia,0.42
5,24,félonie,0.17
5,25,capucin,0.18
5,26,taboulé,0.18
5,27,paladin,0.18
5,28,rubéole,0.14
5,29,vitrier,0.2
5,30,alvéole,0.2
6,1,tapioca,0.33
6,2,mascara,1.15
6,3,brocoli,1.32
6,4,piranha,1.32
6,5,caramel,2.76
6,6,ouragan,6.05
6,7,haricot,8.85
6,8,paysage,13.19
6,9,cabinet,21.97
6,10,comédie,22.11
6,11,énergie,43.06
6,12,magasin,60.62
6,13,maladie,66.04
6,14,société,75.46
6,15,liberté,79.53
6,16,intérêt,81.09
6,17,colonel,103.7
6,18,général,124.83
6,19,hôpital,133.15
6,20,volonté,47.08
6,21,granulé,0.32
6,22,colibri,0.33
6,23,camélia,0.42
6,24,félonie,0.17
6,25,capucin,0.18
6,26,taboulé,0.18
6,27,paladin,0.18
6,28,rubéole,0.14
6,29,vitrier,0.2
6,30,alvéole,0.2
7,1,tapioca,0.33
7,2,mascara,1.15
7,3,brocoli,1.32
7,4,piranha,1.32
7,5,caramel,2.76
7,6,ouragan,6.05
7,7,haricot,8.85
7,8,paysage,13.19
7,9,cabinet,21.97
7,10,comédie,22.11
7,11,énergie,43.06
7,12,magasin,60.62
7,13,maladie,66.04
7,14,société,75.46
7,15,liberté,79.53
7,16,intérêt,81.09
7,17,colonel,103.7
7,18,général,124.83
7,19,hôpital,133.15
7,20,volonté,47.08
7,21,granulé,0.32
7,22,colibri,0.33
7,23,camélia,0.42
7,24,félonie,0.17
7,25,capucin,0.18
7,26,taboulé,0.18
7,27,paladin,0.18
7,28,rubéole,0.14
7,29,vitrier,0.2
7,30,alvéole,0.2
8,1,tapioca,0.33
8,2,mascara,1.15
8,3,brocoli,1.32
8,4,piranha,1.32
8,5,caramel,2.76
8,6,ouragan,6.05
8,7,haricot,8.85
8,8,paysage,13.19
8,9,cabinet,21.97
8,10,comédie,22.11
8,11,énergie,43.06
8,12,magasin,60.62
8,13,maladie,66.04
8,14,société,75.46
8,15,liberté,79.53
8,16,intérêt,81.09
8,17,colonel,103.7
8,18,général,124.83
8,19,hôpital,133.15
8,20,volonté,47.08
8,21,granulé,0.32
8,22,colibri,0.33
8,23,camélia,0.42
8,24,félonie,0.17
8,25,capucin,0.18
8,26,taboulé,0.18
8,27,paladin,0.18
8,28,rubéole,0.14
8,29,vitrier,0.2
8,30,alvéole,0.2
9,1,tapioca,0.33
9,2,mascara,1.15
9,3,brocoli,1.32
9,4,piranha,1.32
9,5,caramel,2.76
9,6,ouragan,6.05
9,7,haricot,8.85
9,8,paysage,13.19
9,9,cabinet,21.97
9,10,comédie,22.11
9,11,énergie,43.06
9,12,magasin,60.62
9,13,maladie,66.04
9,14,société,75.46
9,15,liberté,79.53
9,16,intérêt,81.09
9,17,colonel,103.7
9,18,général,124.83
9,19,hôpital,133.15
9,20,volonté,47.08
9,21,granulé,0.32
9,22,colibri,0.33
9,23,camélia,0.42
9,24,félonie,0.17
9,25,capucin,0.18
9,26,taboulé,0.18
9,27,paladin,0.18
9,28,rubéole,0.14
9,29,vitrier,0.2
9,30,alvéole,0.2
10,1,tapioca,0.33
10,2,mascara,1.15
10,3,brocoli,1.32
10,4,piranha,1.32
10,5,caramel,2.76
10,6,ouragan,6.05
10,7,haricot,8.85
10,8,paysage,13.19
10,9,cabinet,21.97
10,10,comédie,22.11
10,11,énergie,43.06
10,12,magasin,60.62
10,13,maladie,66.04
10,14,société,75.46
10,15,liberté,79.53
10,16,intérêt,81.09
10,17,colonel,103.7
10,18,général,124.83
10,19,hôpital,133.15
10,20,volonté,47.08
10,21,granulé,0.32
10,22,colibri,0.33
10,23,camélia,0.42
10,24,félonie,0.17
10,25,capucin,0.18
10,26,taboulé,0.18
10,27,paladin,0.18
10,28,rubéole,0.14
10,29,vitrier,0.2
10,30,alvéole,0.2
